"municipio","ano","populacao","cod_ibge"
"ADAMANTINA",2018,33888,3500105
"ADAMANTINA",2019,33891,3500105
"ADAMANTINA",2020,33894,3500105
"ADOLFO",2018,3469,3500204
"ADOLFO",2019,3458,3500204
"ADOLFO",2020,3447,3500204
"AGUAÍ",2018,34919,3500303
"AGUAÍ",2019,35261,3500303
"AGUAÍ",2020,35608,3500303
"ÁGUAS DA PRATA",2018,7758,3500402
"ÁGUAS DA PRATA",2019,7777,3500402
"ÁGUAS DA PRATA",2020,7797,3500402
"ÁGUAS DE LINDÓIA",2018,18163,3500501
"ÁGUAS DE LINDÓIA",2019,18268,3500501
"ÁGUAS DE LINDÓIA",2020,18374,3500501
"ÁGUAS DE SANTA BÁRBARA",2018,5865,3500550
"ÁGUAS DE SANTA BÁRBARA",2019,5899,3500550
"ÁGUAS DE SANTA BÁRBARA",2020,5931,3500550
"ÁGUAS DE SÃO PEDRO",2018,3043,3500600
"ÁGUAS DE SÃO PEDRO",2019,3082,3500600
"ÁGUAS DE SÃO PEDRO",2020,3122,3500600
"AGUDOS",2018,35828,3500709
"AGUDOS",2019,35980,3500709
"AGUDOS",2020,36134,3500709
"ALAMBARI",2018,5600,3500758
"ALAMBARI",2019,5689,3500758
"ALAMBARI",2020,5779,3500758
"ALFREDO MARCONDES",2018,3923,3500808
"ALFREDO MARCONDES",2019,3924,3500808
"ALFREDO MARCONDES",2020,3927,3500808
"ALTAIR",2018,3994,3500907
"ALTAIR",2019,4015,3500907
"ALTAIR",2020,4036,3500907
"ALTINÓPOLIS",2018,15557,3501004
"ALTINÓPOLIS",2019,15555,3501004
"ALTINÓPOLIS",2020,15553,3501004
"ALTO ALEGRE",2018,4037,3501103
"ALTO ALEGRE",2019,4027,3501103
"ALTO ALEGRE",2020,4017,3501103
"ALUMÍNIO",2018,17747,3501152
"ALUMÍNIO",2019,17859,3501152
"ALUMÍNIO",2020,17972,3501152
"ÁLVARES FLORENCE",2018,3673,3501202
"ÁLVARES FLORENCE",2019,3647,3501202
"ÁLVARES FLORENCE",2020,3621,3501202
"ÁLVARES MACHADO",2018,23714,3501301
"ÁLVARES MACHADO",2019,23751,3501301
"ÁLVARES MACHADO",2020,23789,3501301
"ÁLVARO DE CARVALHO",2018,4962,3501400
"ÁLVARO DE CARVALHO",2019,5003,3501400
"ÁLVARO DE CARVALHO",2020,5044,3501400
"ALVINLÂNDIA",2018,3142,3501509
"ALVINLÂNDIA",2019,3160,3501509
"ALVINLÂNDIA",2020,3176,3501509
"AMERICANA",2018,229283,3501608
"AMERICANA",2019,231361,3501608
"AMERICANA",2020,233458,3501608
"AMÉRICO BRASILIENSE",2018,39121,3501707
"AMÉRICO BRASILIENSE",2019,39678,3501707
"AMÉRICO BRASILIENSE",2020,40243,3501707
"AMÉRICO DE CAMPOS",2018,5734,3501806
"AMÉRICO DE CAMPOS",2019,5735,3501806
"AMÉRICO DE CAMPOS",2020,5736,3501806
"AMPARO",2018,68945,3501905
"AMPARO",2019,69291,3501905
"AMPARO",2020,69639,3501905
"ANALÂNDIA",2018,4746,3502002
"ANALÂNDIA",2019,4798,3502002
"ANALÂNDIA",2020,4850,3502002
"ANDRADINA",2018,55943,3502101
"ANDRADINA",2019,55998,3502101
"ANDRADINA",2020,56054,3502101
"ANGATUBA",2018,24038,3502200
"ANGATUBA",2019,24269,3502200
"ANGATUBA",2020,24501,3502200
"ANHEMBI",2018,6467,3502309
"ANHEMBI",2019,6568,3502309
"ANHEMBI",2020,6672,3502309
"ANHUMAS",2018,3919,3502408
"ANHUMAS",2019,3942,3502408
"ANHUMAS",2020,3963,3502408
"APARECIDA",2018,35570,3502507
"APARECIDA",2019,35640,3502507
"APARECIDA",2020,35709,3502507
"APARECIDA D'OESTE",2018,4192,3502606
"APARECIDA D'OESTE",2019,4162,3502606
"APARECIDA D'OESTE",2020,4132,3502606
"APIAÍ",2018,24681,3502705
"APIAÍ",2019,24674,3502705
"APIAÍ",2020,24666,3502705
"ARAMINA",2018,5433,3503000
"ARAMINA",2019,5465,3503000
"ARAMINA",2020,5496,3503000
"ARANDU",2018,6154,3503109
"ARANDU",2019,6159,3503109
"ARANDU",2020,6165,3503109
"ARAPEÍ",2018,2471,3503158
"ARAPEÍ",2019,2472,3503158
"ARAPEÍ",2020,2471,3503158
"ARARAQUARA",2018,224389,3503208
"ARARAQUARA",2019,225997,3503208
"ARARAQUARA",2020,227618,3503208
"ARARAS",2018,128676,3503307
"ARARAS",2019,129861,3503307
"ARARAS",2020,131057,3503307
"ARAÇARIGUAMA",2018,20223,3502754
"ARAÇARIGUAMA",2019,20598,3502754
"ARAÇARIGUAMA",2020,20980,3502754
"ARAÇATUBA",2018,188884,3502804
"ARAÇATUBA",2019,189674,3502804
"ARAÇATUBA",2020,190469,3502804
"ARAÇOIABA DA SERRA",2018,31373,3502903
"ARAÇOIABA DA SERRA",2019,31878,3502903
"ARAÇOIABA DA SERRA",2020,32390,3502903
"ARCO-ÍRIS",2018,1832,3503356
"ARCO-ÍRIS",2019,1824,3503356
"ARCO-ÍRIS",2020,1816,3503356
"AREALVA",2018,8127,3503406
"AREALVA",2019,8162,3503406
"AREALVA",2020,8196,3503406
"AREIAS",2018,3807,3503505
"AREIAS",2019,3825,3503505
"AREIAS",2020,3843,3503505
"AREIÓPOLIS",2018,10788,3503604
"AREIÓPOLIS",2019,10822,3503604
"AREIÓPOLIS",2020,10857,3503604
"ARIRANHA",2018,9171,3503703
"ARIRANHA",2019,9245,3503703
"ARIRANHA",2020,9320,3503703
"ARTUR NOGUEIRA",2018,51092,3503802
"ARTUR NOGUEIRA",2019,51846,3503802
"ARTUR NOGUEIRA",2020,52609,3503802
"ARUJÁ",2018,86746,3503901
"ARUJÁ",2019,88232,3503901
"ARUJÁ",2020,89744,3503901
"ASPÁSIA",2018,1774,3503950
"ASPÁSIA",2019,1769,3503950
"ASPÁSIA",2020,1765,3503950
"ASSIS",2018,100184,3504008
"ASSIS",2019,100781,3504008
"ASSIS",2020,101381,3504008
"ATIBAIA",2018,137107,3504107
"ATIBAIA",2019,138351,3504107
"ATIBAIA",2020,139606,3504107
"AURIFLAMA",2018,14429,3504206
"AURIFLAMA",2019,14450,3504206
"AURIFLAMA",2020,14471,3504206
"AVAÍ",2018,5223,3504305
"AVAÍ",2019,5255,3504305
"AVAÍ",2020,5288,3504305
"AVANHANDAVA",2018,11949,3504404
"AVANHANDAVA",2019,12030,3504404
"AVANHANDAVA",2020,12114,3504404
"AVARÉ",2018,86669,3504503
"AVARÉ",2019,87102,3504503
"AVARÉ",2020,87538,3504503
"BADY BASSITT",2018,16037,3504602
"BADY BASSITT",2019,16182,3504602
"BADY BASSITT",2020,16329,3504602
"BALBINOS",2018,3699,3504701
"BALBINOS",2019,3702,3504701
"BALBINOS",2020,3704,3504701
"BÁLSAMO",2018,8460,3504800
"BÁLSAMO",2019,8493,3504800
"BÁLSAMO",2020,8524,3504800
"BANANAL",2018,10560,3504909
"BANANAL",2019,10605,3504909
"BANANAL",2020,10651,3504909
"BARÃO DE ANTONINA",2018,3328,3505005
"BARÃO DE ANTONINA",2019,3356,3505005
"BARÃO DE ANTONINA",2020,3383,3505005
"BARBOSA",2018,7142,3505104
"BARBOSA",2019,7212,3505104
"BARBOSA",2020,7284,3505104
"BARIRI",2018,33540,3505203
"BARIRI",2019,33765,3505203
"BARIRI",2020,33993,3505203
"BARRA BONITA",2018,34971,3505302
"BARRA BONITA",2019,34943,3505302
"BARRA BONITA",2020,34914,3505302
"BARRA DO CHAPÉU",2018,5470,3505351
"BARRA DO CHAPÉU",2019,5499,3505351
"BARRA DO CHAPÉU",2020,5530,3505351
"BARRA DO TURVO",2018,7676,3505401
"BARRA DO TURVO",2019,7681,3505401
"BARRA DO TURVO",2020,7687,3505401
"BARRETOS",2018,116973,3505500
"BARRETOS",2019,117509,3505500
"BARRETOS",2020,118048,3505500
"BARRINHA",2018,31574,3505609
"BARRINHA",2019,31954,3505609
"BARRINHA",2020,32338,3505609
"BARUERI",2018,259793,3505708
"BARUERI",2019,262081,3505708
"BARUERI",2020,264390,3505708
"BASTOS",2018,20284,3505807
"BASTOS",2019,20293,3505807
"BASTOS",2020,20301,3505807
"BATATAIS",2018,59517,3505906
"BATATAIS",2019,59868,3505906
"BATATAIS",2020,60222,3505906
"BAURU",2018,360478,3506003
"BAURU",2019,362348,3506003
"BAURU",2020,364225,3506003
"BEBEDOURO",2018,74373,3506102
"BEBEDOURO",2019,74264,3506102
"BEBEDOURO",2020,74155,3506102
"BENTO DE ABREU",2018,2892,3506201
"BENTO DE ABREU",2019,2919,3506201
"BENTO DE ABREU",2020,2945,3506201
"BERNARDINO DE CAMPOS",2018,10780,3506300
"BERNARDINO DE CAMPOS",2019,10784,3506300
"BERNARDINO DE CAMPOS",2020,10787,3506300
"BERTIOGA",2018,60120,3506359
"BERTIOGA",2019,61684,3506359
"BERTIOGA",2020,63290,3506359
"BILAC",2018,7676,3506409
"BILAC",2019,7745,3506409
"BILAC",2020,7816,3506409
"BIRIGUI",2018,118960,3506508
"BIRIGUI",2019,120138,3506508
"BIRIGUI",2020,121329,3506508
"BIRITIBA MIRIM",2018,31571,3506607
"BIRITIBA MIRIM",2019,31952,3506607
"BIRITIBA MIRIM",2020,32338,3506607
"BOA ESPERANÇA DO SUL",2018,14396,3506706
"BOA ESPERANÇA DO SUL",2019,14489,3506706
"BOA ESPERANÇA DO SUL",2020,14582,3506706
"BOCAINA",2018,11888,3506805
"BOCAINA",2019,12011,3506805
"BOCAINA",2020,12135,3506805
"BOFETE",2018,10790,3506904
"BOFETE",2019,10932,3506904
"BOFETE",2020,11076,3506904
"BOITUVA",2018,55630,3507001
"BOITUVA",2019,56455,3507001
"BOITUVA",2020,57292,3507001
"BOM JESUS DOS PERDÕES",2018,23399,3507100
"BOM JESUS DOS PERDÕES",2019,23841,3507100
"BOM JESUS DOS PERDÕES",2020,24291,3507100
"BOM SUCESSO DE ITARARÉ",2018,3797,3507159
"BOM SUCESSO DE ITARARÉ",2019,3829,3507159
"BOM SUCESSO DE ITARARÉ",2020,3861,3507159
"BORÁ",2018,810,3507209
"BORÁ",2019,811,3507209
"BORÁ",2020,812,3507209
"BORACÉIA",2018,4662,3507308
"BORACÉIA",2019,4710,3507308
"BORACÉIA",2020,4759,3507308
"BORBOREMA",2018,15183,3507407
"BORBOREMA",2019,15253,3507407
"BORBOREMA",2020,15323,3507407
"BOREBI",2018,2524,3507456
"BOREBI",2019,2552,3507456
"BOREBI",2020,2579,3507456
"BOTUCATU",2018,138590,3507506
"BOTUCATU",2019,139856,3507506
"BOTUCATU",2020,141135,3507506
"BRAGANÇA PAULISTA",2018,160840,3507605
"BRAGANÇA PAULISTA",2019,162402,3507605
"BRAGANÇA PAULISTA",2020,163980,3507605
"BRAÚNA",2018,5452,3507704
"BRAÚNA",2019,5501,3507704
"BRAÚNA",2020,5552,3507704
"BREJO ALEGRE",2018,2732,3507753
"BREJO ALEGRE",2019,2749,3507753
"BREJO ALEGRE",2020,2768,3507753
"BRODOWSKI",2018,23430,3507803
"BRODOWSKI",2019,23684,3507803
"BRODOWSKI",2020,23943,3507803
"BROTAS",2018,23423,3507902
"BROTAS",2019,23635,3507902
"BROTAS",2020,23850,3507902
"BURI",2018,19428,3508009
"BURI",2019,19553,3508009
"BURI",2020,19678,3508009
"BURITAMA",2018,16377,3508108
"BURITAMA",2019,16486,3508108
"BURITAMA",2020,16596,3508108
"BURITIZAL",2018,4259,3508207
"BURITIZAL",2019,4282,3508207
"BURITIZAL",2020,4307,3508207
"CABRÁLIA PAULISTA",2018,4313,3508306
"CABRÁLIA PAULISTA",2019,4311,3508306
"CABRÁLIA PAULISTA",2020,4308,3508306
"CABREÚVA",2018,47842,3508405
"CABREÚVA",2019,48630,3508405
"CABREÚVA",2020,49430,3508405
"CACHOEIRA PAULISTA",2018,31825,3508603
"CACHOEIRA PAULISTA",2019,32027,3508603
"CACHOEIRA PAULISTA",2020,32231,3508603
"CACONDE",2018,18786,3508702
"CACONDE",2019,18820,3508702
"CACONDE",2020,18854,3508702
"CAFELÂNDIA",2018,17121,3508801
"CAFELÂNDIA",2019,17183,3508801
"CAFELÂNDIA",2020,17244,3508801
"CAIABU",2018,4099,3508900
"CAIABU",2019,4102,3508900
"CAIABU",2020,4103,3508900
"CAIEIRAS",2018,97763,3509007
"CAIEIRAS",2019,99177,3509007
"CAIEIRAS",2020,100612,3509007
"CAIUÁ",2018,5489,3509106
"CAIUÁ",2019,5543,3509106
"CAIUÁ",2020,5600,3509106
"CAJAMAR",2018,74910,3509205
"CAJAMAR",2019,76256,3509205
